	DG_001	DG_002	DG_003	DG_004	PCR_CNTRL	PW_001	PW_002	PW_003	SB_001	SB_002	SB_003	SZ_001	SZ_002	SZ_003	W_001	W_002	W_003	WG_001	WG_002	WG_003
ASV_1	49300	44842	73051	74065	0	59883	9352	64795	0	15430	0	32264	55359	16769	36529	97716	52331	26353	51038	89509
ASV_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	102	0	0	0	0
ASV_111	5	0	0	9	0	6	0	0	0	0	0	6	20	0	0	41	7	0	0	9
ASV_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	76	0	0	0	0
ASV_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0
ASV_126	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0
ASV_128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	50	0	0	0	0
ASV_130	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	62	4	0	0	0
ASV_135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	59	0	0	0	0
ASV_138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	7	0	0	0
ASV_14	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1105	3921	243	0	0	0
ASV_141	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_142	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0
ASV_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	5	0	0	0
ASV_155	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	43	0	0	0	0
ASV_158	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0
ASV_161	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
ASV_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0
ASV_166	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
ASV_168	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0
ASV_173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	55	0	0	0	0
ASV_175	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0
ASV_179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
ASV_180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
ASV_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	32	0	0	0	0
ASV_184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0
ASV_185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
ASV_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	27	0	0	0	3
ASV_194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	45	0	0	0	0
ASV_201	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
ASV_203	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV_207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0
ASV_209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
ASV_212	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
ASV_213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0
ASV_219	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ASV_228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0
ASV_231	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
ASV_233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV_242	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
ASV_245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV_248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV_254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
