"Kingdom","Phylum","Class","Order","Family","Genus"
"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium"
"Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","Nannocystis"
"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"Bacteria","Planctomycetota","OM190",NA,NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Bacteria",NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium"
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia"
"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Peptoniphilus"
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"Bacteria","Acidobacteriota","Blastocatellia","11-24",NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Risungbinella"
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Bacteria",NA,NA,NA,NA,NA
"Bacteria","Dependentiae","Babeliae","Babeliales",NA,NA
"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria",NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Bacteria",NA,NA,NA,NA,NA
"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus"
"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"Bacteria",NA,NA,NA,NA,NA
"Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","Rubricoccus"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium"
"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA
"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Silvanigrella"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales",NA,NA
