layers	num_SCVs_reported	num_INDELs_reported	total_reads_kept	num_SNVs_reported	total_reads_mapped
DG_001_EKDN220039120_1A_HCHH2DSX5_L1	62144	1098	5751571	73632	5751571
DG_002_EKDN220039121_1A_HCHH2DSX5_L1	37721	704	3636919	45552	3636919
DG_003_EKDN220039122_1A_HCHH2DSX5_L1	48617	964	5138206	57971	5138206
DG_004_EKDN220039123_1A_HCHH2DSX5_L1	315608	4729	15548646	373699	15548646
PW_001_EKDN220039127_1A_HCHH2DSX5_L1	451174	6885	27521311	538092	27521311
PW_002_EKDN220039128_1A_HCHH2DSX5_L1	469337	7388	28069328	561028	28069328
PW_003_EKDN220039129_1A_HCHH2DSX5_L1	599470	9111	31844560	715148	31844560
SZ_001_EKDN220039124_1A_HCHH2DSX5_L1	11632	234	1025383	14391	1025383
SZ_003_EKDN220039126_1A_HCHH2DSX5_L1	463762	7039	27180089	550854	27180089
WG_001_EKDN220039117_1A_HCHH2DSX5_L1	4985	99	541959	6327	541959
WG_002_EKDN220039118_1A_HCHH2DSX5_L1	1418	22	204075	1686	204075
WG_003_EKDN220039119_1A_HCHH2DSX5_L1	6973	129	582159	8434	582159
W_001_EKDN220039130_1A_HCHMYDSX5_L1	347945	5031	24527060	418896	24527060
W_003_EKDN220039132_1A_HCHH2DSX5_L1	443984	6987	26399176	535151	26399176
merged_SZ_002	1	1	22627	11	22627
