samples	perc_clean_unmapped	perc_raw_repair	Sample_type	Ceto_coverage
WG_001_EKDN220039117_1A_HCHH2DSX5_L1	98.86957235	62.41024891	Whole gut	22.17458733
WG_002_EKDN220039118_1A_HCHH2DSX5_L1	99.26482675	62.62513967	Whole gut	10.0981989
WG_003_EKDN220039119_1A_HCHH2DSX5_L1	98.9719273	62.89115311	Whole gut	27.15920028
DG_001_EKDN220039120_1A_HCHH2DSX5_L1	93.39175188	64.37858373	Dissected gut	203.8124405
DG_002_EKDN220039121_1A_HCHH2DSX5_L1	96.05574036	64.07716054	Dissected gut	113.1753168
DG_003_EKDN220039122_1A_HCHH2DSX5_L1	94.77879778	65.07050381	Dissected gut	187.8143057
DG_004_EKDN220039123_1A_HCHH2DSX5_L1	62.74143545	80.51421343	Dissected gut	336.2298346
SZ_001_EKDN220039124_1A_HCHH2DSX5_L1	98.47353217	64.11842075	Squeezed zebra	42.83756886
merged_SZ_002	99.45065124	62.62334142	Squeezed zebra	0.824026188
SZ_003_EKDN220039126_1A_HCHH2DSX5_L1	55.71820276	77.50985549	Squeezed zebra	333.4953592
PW_001_EKDN220039127_1A_HCHH2DSX5_L1	0.836099567	89.42090977	Poop from water	362.484748
PW_002_EKDN220039128_1A_HCHH2DSX5_L1	0.280127071	87.99916647	Poop from water	379.0327098
PW_003_EKDN220039129_1A_HCHH2DSX5_L1	0.302999254	87.73263437	Poop from water	372.1037354
W_001_EKDN220039130_1A_HCHMYDSX5_L1	1.415880026	82.23661395	Water	174.2296771
W_003_EKDN220039132_1A_HCHH2DSX5_L1	1.171831066	80.4888891	Water	223.0915215
